common_name,n
COMMOM JUNIPER,20
DUTCH ELM,20
EASTERN HORNBEAM,20
IVY-LEAVED MAPLE,20
RED ALDER,20
SILVER LINDEN,20
MAJESTIC WHITEBEAM,19
MANGLETIA,19
MEDLAR APPLE,19
POPLAR SPECIES,19
RUGGED RIDGE MIYABE MAPLE,19
SWEETGUM SPECIES,19
GREEN VASE ZELKOVA,18
HINOKI FALSECYPRESS,18
PAPERBARK CHERRY,18
PURPLE FOUNTAIN BEECH,18
TAIJA JAPANESE MAPLE,18
AUTUMN SPLENDOR CHESTNUT,17
BIGLEAF LINDEN,17
CASCARA,17
HARDY RUBBER TREE,17
HYBRID CATALPA,17
JAPANESE PAGODA TREE,17
MAGNOLIA 'APOLLO',17
SHOJO JAPANESE MAPLE,17
SKYLINE HONEYLOCUST,17
SMOOTHLEAF ELM,17
VANDERWOLFS PINE,17
ALDER SPECIES,16
DOUGLAS MAPLE,16
FULLMOON MAPLE,16
HARVEST ORANGE MAPLE,16
MAGNOLIA 'MERRILL',16
PINK FLOWERING JAPANESE SNOWBE,16
RIVER BIRCH,16
YUNNANENSIS CRABAPPLE,16
AMERICAN FILBERT,15
FASTIGIATA MAIDENHAIR TREE,15
VENUS DOGWOOD,15
WALNUT SPECIES,15
FILBERT SPECIES,14
GOLDEN CHAIN TREE,14
MANCHURIAN CHERRY,14
PURPLE NORWAY MAPLE,14
SUSAN MAGNOLIA,14
YELLOW BUCKEYE,14
COMMON LILAC,13
GOLDSPOT DOGWOOD,13
JACK PINE,13
MOUNTAIN BLACK HEMLOCK,13
RED BUCKEYE,13
SAUCER MAGNOLIA,13
SPINDLE TREE,13
CHINESE TUPELO,12
EUROPEAN LARCH,12
GIANT FILBERT,12
LODGEPOLE PINE,12
PLUME CRYPTOMERIA,12
ATLAS CEDAR,11
COLUMNAR SWEDISH ASPEN,11
GOLDEN RAINDROPS CRABAPPLE,11
KASHMIR CEDAR,11
QUEEN ELIZABETH NORWAY MAPLE,11
RUDOLPH CRABAPPLE,11
STRIPED-BARK MAPLE,11
WESTERN WHITE PINE,11
WILLOW SPECIES,11
WINDMILL PALM,11
BLACK SPRUCE,10
COCKSPUR HAWTHORN,10
GOLDEN ASH,10
HAZELNUT,10
JOSEPH ROCK MOUNTAIN ASH,10
LILAC SPECIES,10
MAGNOLIA 'SERENE',10
MONKEY PUZZLE TREE,10
PURPLE LIKIANG SPRUCE,10
SWEETBAY MAGNOLIA MOONGLOW,10
VILMORIN MOUNTAIN ASH,10
WHITE FIR,10
ALMIRA NORWAY MAPLE,9
BALSAM FIR,9
BLUE ATLAS CEDAR,9
COMMON FIG,9
DR. PIRONE'S ASH,9
EASTERN HEMLOCK,9
EMPRESS TREE,9
GREAT WHITE CHERRY,9
KOREAN FIR,9
KOREAN MAPLE,9
MUGO PINE,9
PACIFIC MADRONE/ARBUTUS,9
PYRAMID BLACK LOCUST,9
REGAL PRINCE OAK,9
TURNER'S OAK,9
CHESTNUT SPECIES,8
CHINESE MAGNOLIA,8
FAASSEN'S BLACK NORWAY MAPLE,8
HOOP'S BLUE SPRUCE,8
OREGON ASH,8
THREADLEAF JAPANESE MAPLE,8
WHITE POPLAR,8
AMERICAN CHESTNUT,7
CALIFORNIA REDWOOD,7
CELEBRATION RED MAPLE,7
CHESTNUT OAK,7
CORKSCREW WILLOW,7
CUCUMBER MAGNOLIA,7
MAGNOLIA 'IOLANTHE',7
MOSS SAWARA FALSECYPRESS,7
POINTED LEAF MAPLE,7
UPRIGHT PERSIAN IRONWOOD,7
ALLEGHENY SERVICEBERRY,6
AUTUMN GOLD GINKGO,6
BALD CYPRESS,6
BLUE NOOTKA CYPRESS,6
CHINESE CRABAPPLE,6
GREENLACE NORWAY MAPLE,6
HOT WINGS MAPLE,6
MAGNOLIA 'CHYVERTON RED',6
NOBLE FIR,6
PIONEER ELM,6
PURPLE CATALPA,6
PURPLE LEAF HAZELNUT,6
WILD DRAGON CHINESE TULIPTREE,6
YAMHILL FILBERT,6
AMUR CORKTREE,5
ASCENDING BALD CYPRESS,5
BAY LAUREL,5
BLACK MAPLE,5
BLUE ASH,5
BURGANDY LACE JAPANESE  MAPLE,5
CHEALS WEEPING CHERRY,5
CHITALPA,5
CLEVELAND NORWAY MAPLE,5
GOLDEN CATALPA,5
GOLDEN ORIENTAL ARBORVITAE,5
HESSE'S EUROPEAN ASH,5
JAPANESE CRYPTOMERIA,5
JAPANESE WALNUT,5
JEFFERSON FILBERT,5
JUNIPER SPECIES,5
LABURNUM SPECIES,5
MAGNOLIA 'BLOOD MOON',5
NANNYBERRY,5
PRAIRIE SENTINEL HACKBERRY,5
RISING SUN REDBUD,5
SIBERIAN CRABAPPLE,5
SOUTHERN SUGAR MAPLE,5
STREET KEEPER HONEYLOCUST,5
SUMAC SPECIES,5
SWEETHEART CHERRY,5
WEEPING CRABAPPLE,5
WHITE MULBERRY,5
CELESTIAL SHADOW DOGWOOD,4
EASY STREET NORWAY MAPLE,4
ETA FILBERT,4
GARRY OAK,4
GOLD HINOKI FALSECYPRESS,4
GREY DOGWOOD,4
HENRY MAPLE,4
JAPANESE ANGELICA TREE,4
MESERVE HOLLY,4
MIDGET CRABAPPLE,4
OHIO BUCKEYE,4
PRAIRIE STATURE OAK,4
STAR MAGNOLIA,4
TEA CRABAPPLE,4
TREE OF HEAVEN,4
UPRIGHT MOUNTAIN ASH,4
WEEPING MULBERRY,4
WIER CUTLEAF SILVER MAPLE,4
YOUNG'S WEEPING BIRCH,4
ALIA'S MAGNOLIA,3
AMERICAN BEAUTY CRABAPPLE,3
BRUNS SERBIAN SPRUCE,3
CARPATHIAN WALNUT,3
CHINESE BIRCH,3
COLUMNAR SCOTCH PINE,3
DWARF ALBERTA SPRUCE,3
EASTERN MOUNTAIN MAPLE,3
ENGLEMANN SPRUCE,3
EPAULETTE TREE,3
EUROPEAN PURPLE BIRCH,3
EVERGREEN OAK,3
GOLD RUSH DAWN REDWOOD,3
GOLDEN WEEPING WILLOW,3
